Concessionária;no da barra;Ponto de Conexão;TUST-RB (R$/kW.mês);;TUST-FR (R$/kW.mês)
;;;Ponta;Fora Ponta;Ponta;Fora Ponta
; 2550; TECUMSEH 1 - 138;  5,454;  5,406;  5,734;  5,734
; 2281; TRIANON - 138;  4,822;  4,696;  5,734;  5,734
;  672; UBARANA - 69;  4,960;  4,851;  5,734;  5,734
; 4284; UTE UNIVALEM - 138;  4,707;  4,571;  5,734;  5,734
;  673; VALPARAISO - 138;  4,722;  4,585;  5,734;  5,734
; 2348; VILA VENTURA - 138;  5,010;  4,898;  5,734;  5,734
; 2121; VW SAO CARLOS - 138;  5,453;  5,405;  5,734;  5,734
CPFL PIRATININGA;  576; BOM JARDIM - 88;  5,690;  5,680;  2,851;  2,851
;  575; BOM JARDIM - 138;  5,699;  5,694;  0,005;  0,005
;  473; B. SANTISTA - 88;  5,498;  5,497;  0,754;  0,754
; 3423; BOITUVA 2 - 138;  6,232;  6,409;  5,734;  5,734
; 3472; EMBRAPORT - 138;  5,656;  5,654;  5,734;  5,734
;  583; EMBU-GUACU - 138;  5,733;  5,758;  0,174;  0,174
; 6610; ITATIBA - 138;  5,481;  5,459;  0,868;  0,868
; 3066; MANAH - 138;  5,655;  5,653;  5,734;  5,734
;  415; OESTE - 88;  5,581;  5,576;  1,597;  1,597
; 3418; PROCTER GAMBL - 138;  5,699;  5,695;  5,734;  5,734
;  528; SALTO - 88;  5,645;  5,635;  1,797;  1,797
; 3420; T.ULTRAFERTIL - 138;  5,656;  5,653;  5,734;  5,734
; 3087; VIC. CARVALHO - 13,8;  5,656;  5,655;  5,734;  5,734
; 2034; ZANCHETTA - 138;  6,239;  6,420;  5,734;  5,734
CPFL SANTA CRUZ; 3150; AVARE NOVA - 230;  5,907;  6,030
; 3146; BERNAR.CAMPOS - 88;  5,439;  5,500;  5,734;  5,734
;  683; CACONDE - 138;  5,567;  5,518;  5,734;  5,734
; 6603; CASA BRANCA 5 - 138;  5,539;  5,488;  5,734;  5,734
; 3132; CASA BRANCA - 138;  5,540;  5,489;  5,734;  5,734
; 3127; DURATEX ITAP - 138;  6,333;  6,551;  5,734;  5,734
; 9116; UTE IPAUSSU - 88;  5,437;  5,499;  5,734;  5,734
; 3147; ITAI 2 - 138;  6,036;  6,211;  5,734;  5,734
; 3126; ITAPETININGA1 - 138;  6,331;  6,548;  5,734;  5,734
;  741; ITAPETININGA2 - 138;  6,331;  6,548;  5,734;  5,734
; 3128; ITAPETININGA 4 - 138;  6,330;  6,547;  5,734;  5,734
; 4277; ITAPETININGA9 - 138;  6,318;  6,531;  5,734;  5,734
; 3137; ANTARTICA JAG - 138;  5,612;  5,591;  5,734;  5,734
; 1968; JAGUARIUNA - 138;  5,612;  5,591;  5,734;  5,734
; 4217; JAGUARIUNA 5 - 138;  5,612;  5,591;  5,734;  5,734
; 3130; MOCOCA - 138;  5,553;  5,500;  5,734;  5,734
; 6601; MOCOCA 4 - 138;  5,567;  5,518;  5,734;  5,734
; 3148; OURINHOS 1 - 88;  5,302;  5,348;  5,734;  5,734
; 3140; OURINHOS 2 - 88;  5,333;  5,384;  5,734;  5,734
; 3135; ETU PEDREIRA - 138;  5,612;  5,591;  5,734;  5,734
; 3133; S.J.RIOPARDO - 138;  5,567;  5,518;  5,734;  5,734
; 7690; MOCOCA 5 - 138;  5,541;  5,484;  5,734;  5,734
DEMEI; 9674; IJUI 1 - 23;  5,018;  5,223;  7,489;  7,489
